R_SA,R_SB,R_SC,R_SuA,R_SuB,R_SuC,N_SA,N_SB,N_SC,N_SuA,N_SuB,N_SuC,Cost
1629368.0,1629368.0,1629368.0,2092593.0,2092593.0,2092593.0,4115.902044594605,4006.685329645635,2391.1094431860474,1662.9198062911196,1505.9857618139376,929.2245308443369,3383687.5955268294
1710836.4,1629368.0,1629368.0,2092593.0,2092593.0,2092593.0,4245.111422182071,3689.771379543362,2363.2108994121522,1671.6007164017867,1505.8859604357447,913.6155287318238,3128811.556772608
1629368.0,1710836.4,1629368.0,2092593.0,2092593.0,2092593.0,3821.6430790475506,4230.503844316378,2410.211030791072,1712.381921259504,1525.0898476749226,951.2620701664531,3452207.070134468
1629368.0,1629368.0,1710836.4,2092593.0,2092593.0,2092593.0,3672.717041074382,3585.3457688737817,2603.2727335264162,1666.2877281291464,1517.3245750109504,886.7431091803579,2431289.62621827
1629368.0,1629368.0,1629368.0,2197222.65,2092593.0,2092593.0,3668.453469551824,3552.824151157229,2347.276110262788,1835.9898266789598,1518.7471263141051,915.5693903700836,2164882.4864257644
1629368.0,1629368.0,1629368.0,2092593.0,2197222.65,2092593.0,3605.0283814035233,3485.9486928387296,2272.750888673571,1666.0423779482835,1668.7895485831916,920.2167591527034,1847079.958643448
1629368.0,1629368.0,1629368.0,2092593.0,2092593.0,2197222.65,3557.5106062058835,3467.7848307073,2324.5196150457023,1656.1151539903287,1512.6358838872825,1006.7690654675883,1763179.8563262867
18096.840000000084,247846.9561247481,1550952.2188994836,2547967.7793747555,2208279.811344382,2269205.330474682,328.0091876706876,327.6869591776497,1986.8571629708001,2399.8715159678295,1687.717860746153,1069.5928160531273,17652342.157354146
1328281.5170210307,1360862.7948757485,1513394.1509990883,2061715.0164719205,2172151.673591307,2429789.3346358063,2253.47605060808,2409.844331993155,1954.1984749603046,1554.0106597277186,1601.6120283543846,1218.852949245282,2244184.200680667
1394695.5928720823,1360862.7948757485,1513394.1509990883,2061715.0164719205,2172151.673591307,2429789.3346358063,2934.141180704712,2628.5604400035927,2031.1867151681702,1599.0587215414896,1626.737622018975,1219.0861099382842,1497756.9052448026
1328281.5170210307,1428905.934619536,1513394.1509990883,2061715.0164719205,2172151.673591307,2429789.3346358063,2457.0638483374314,2911.661905682378,2015.5142232020714,1616.9124543972684,1627.9940998538038,1211.412720275399,1680004.1635853387
1328281.5170210307,1360862.7948757485,1589063.8585490426,2061715.0164719205,2172151.673591307,2429789.3346358063,2312.2707554874924,2480.7676025823757,2232.6610895599965,1587.8873453199528,1566.7711030098278,1217.1756434543913,2368751.876516538
1328281.5170210307,1360862.7948757485,1513394.1509990883,2164800.7672955166,2172151.673591307,2429789.3346358063,2278.5943578896263,2437.4454227190945,1967.8565490430776,1757.9899478954967,1605.1642913267558,1223.090743777796,2426247.9584156647
1328281.5170210307,1360862.7948757485,1513394.1509990883,2061715.0164719205,2280759.257270872,2429789.3346358063,2212.6118877683434,2369.6817756249366,1919.3615856603408,1590.610795931572,1778.5697913329554,1212.1665034356834,2584433.1250751363
1328281.5170210307,1360862.7948757485,1513394.1509990883,2061715.0164719205,2172151.673591307,2551278.8013675967,2411.9705812163434,2574.2882865583483,2028.693437499942,1621.0937324060887,1641.7659735333602,1322.1158959024322,2151642.563260219
1430068.5633347775,1482951.015083908,1500258.6225637244,2047771.85069002,2156694.843135342,1940791.8899853367,2955.2323023612453,3257.9339984556673,1955.2332832419067,1594.7433719985245,1608.0391236427943,801.8040092362313,846215.1107305797
1501571.9915015164,1482951.015083908,1500258.6225637244,2047771.85069002,2156694.843135342,1940791.8899853367,3407.994633252864,3180.577264661609,1990.6604249117042,1623.2372528358824,1617.775201496972,799.7347371237022,994906.6231246819
1430068.5633347775,1557098.5658381034,1500258.6225637244,2047771.85069002,2156694.843135342,1940791.8899853367,2894.3463683236237,3531.61047087619,1993.3905000515929,1594.0507089344185,1607.7638055623574,793.5468706503478,1069767.640260173
1430068.5633347775,1482951.015083908,1575271.5536919106,2047771.85069002,2156694.843135342,1940791.8899853367,2760.8762248428498,3272.313626529593,2221.884773391983,1610.124862716309,1615.8006232055266,792.7258915702596,1248249.7736977688
1430068.5633347775,1482951.015083908,1500258.6225637244,2150160.443224521,2156694.843135342,1940791.8899853367,3191.3825640104137,3343.77364989109,2022.2485257534192,1769.77624681143,1611.0782727610265,790.8390227817787,1158166.0329762383
1430068.5633347775,1482951.015083908,1500258.6225637244,2047771.85069002,2264529.5852921093,1940791.8899853367,3024.9918469289833,3328.1164273368404,2015.855229312974,1596.6811310521025,1760.8501038703987,786.193359319041,1101104.8921920115
1430068.5633347775,1482951.015083908,1500258.6225637244,2047771.85069002,2156694.843135342,2037831.4844846036,2887.487917517864,3224.243401945893,1977.6177745164819,1600.8266585494334,1610.790906371038,878.955192241651,929701.903054401
1456526.7569798564,1476952.234465978,1442053.8130488205,1954048.0331985664,2060156.5934197996,1893658.633687265,3162.768677431742,3127.0532730484574,1835.7660607139778,1426.496769060379,1476.4550546330001,757.4759348552036,433134.18430394
1529353.0948288492,1476952.234465978,1442053.8130488205,1954048.0331985664,2060156.5934197996,1893658.633687265,3553.606474174814,3213.9300405116696,1835.8572369456235,1446.1223620620829,1461.3424156122044,746.5856450698811,673576.6249728105
1456526.7569798564,1550799.846189277,1442053.8130488205,1954048.0331985664,2060156.5934197996,1893658.633687265,2834.193026448357,3135.3458703742035,1782.0792386102341,1347.7833268876382,1432.6744108469877,732.9122919681179,359495.72474333964
1456526.7569798564,1476952.234465978,1514156.5037012615,1954048.0331985664,2060156.5934197996,1893658.633687265,3110.715966851739,3100.3227992689617,2028.2941711851754,1425.0351902167577,1474.9197322749628,767.7705113739722,578287.0572572264
1456526.7569798564,1476952.234465978,1442053.8130488205,2051750.4348584947,2060156.5934197996,1893658.633687265,3214.031714919776,3197.1552174009694,1809.4726231249606,1604.0757777359165,1469.4784869111897,745.8385515491445,589058.8790940726
1456526.7569798564,1476952.234465978,1442053.8130488205,1954048.0331985664,2163164.4230907895,1893658.633687265,3244.503994354265,3246.511525310061,1830.9987039424068,1446.1297188493786,1616.4662141162298,749.2356807670237,622745.6998813142
1456526.7569798564,1476952.234465978,1442053.8130488205,1954048.0331985664,2060156.5934197996,1988341.5653716282,3240.553187608981,3213.8088229005343,1821.4360569035625,1449.5599730171925,1468.9188474798977,834.4716486718607,512854.0214725229
1645325.7267888894,1684147.3186238797,1374868.9772179064,1894977.140291033,1907171.114143344,1778916.4781933923,3953.846869778722,4030.714479913877,1636.8846291494372,1373.836886455344,1254.310918059625,652.0721296503791,1848150.5925602377
