Starting_Altitude_km,Residence_Time_years,Compliant_25yr_DeltaV_ms,Direct_Reentry_DeltaV_ms,DeltaV_Difference_ms,Compliance_Status
600,12.018679514193604,0.0,304.84140652450515,304.84140652450515,Compliant
650,36.039671520141525,26.973436162509643,331.7799144127948,304.8064782502852,Non-compliant
700,84.05060340413253,53.65975586422519,358.42592097884517,304.76616511462,Non-compliant
750,168.1343479302246,80.06351381421155,384.78411941638933,304.7206056021778,Non-compliant
800,315.3971227531517,106.18916552591145,410.85910016007256,304.6699346341611,Non-compliant
850,534.5785311655937,132.04107010939515,436.6553537813006,304.61428367190547,Non-compliant
900,860.8102149335245,157.623492966477,462.177273783489,304.553780817012,Non-compliant
950,1289.334783071416,182.9406083927188,487.4291593008711,304.4885509081523,Non-compliant
1000,1852.2492158646066,207.9965020901318,512.4152177048036,304.4187156146718,Non-compliant
1050,2528.3313561748832,232.7951735943043,537.1395671214113,304.34439352710706,Non-compliant
1100,3340.3507485990744,257.3405386193517,561.606238864103,304.2657002447513,Non-compliant
1150,4315.661619302874,281.63643132410016,585.8191797844429,304.18274846034274,Non-compliant
1200,5487.126641785948,305.686606502577,609.7822545446106,304.09564804203364,Non-compliant
1250,6894.226950039727,329.4947417018984,633.4992478145869,304.00450611268843,Non-compliant
1300,8584.39597197731,353.064439270368,656.9738663970211,303.9094271266531,Non-compliant
1350,10614.622239993458,376.39922833858964,680.2097412826488,303.81051294405916,Non-compliant
1400,13053.375451080352,399.5025667361542,703.2104296389252,303.707862902771,Non-compliant
1450,15982.921005535352,422.3778428464384,725.9794167344862,303.6015738880478,Non-compliant
1500,19502.101422956755,445.0283774018908,748.5201178018988,303.491740400008,Non-compliant
