alt_bin,S,Su,Sns,N_0.00141372kg,N_0.567kg,N_6kg,N_223kg,N_500kg,B
0,113,3,28,24,1,0,0,0,4
1,96,5,71,33,2,0,1,1,5
2,57,13,174,60,5,0,0,0,12
3,607,94,117,91,3,0,1,0,13
4,451,378,166,167,7,0,2,0,30
5,1538,301,197,247,16,0,4,0,44
6,3311,166,88,464,20,7,2,1,32
7,0,166,55,787,48,2,0,0,65
8,7,108,57,1221,61,0,1,0,33
9,0,90,44,1898,93,1,0,0,25
10,0,43,48,2659,155,7,0,0,30
11,73,55,113,3558,182,18,0,0,80
12,0,54,102,4077,180,15,0,0,50
13,0,30,64,4727,218,13,0,0,48
14,0,20,33,4453,139,11,0,0,39
15,0,14,49,3713,88,11,0,0,16
16,0,31,92,3226,64,5,0,0,138
17,0,12,142,2670,65,3,0,1,66
18,0,4,15,2043,35,2,0,0,12
19,0,39,36,1660,41,0,0,0,27
