type,max_value,time_of_max,location_of_max,avg_launch_rate,max_cagr,time_of_max_cagr,location_of_max_cagr,harmonic_mean_cagr
D,1226.97,4,497.5,NA,Inf,1,217.5,-0.4
N,999,1,847.5,NA,0.41,1,1232.5,-0.2
S,2529,1,532.5,NA,-0,1,252.5,-0.01
Su,983.13,10,287.5,NA,34.41,1,252.5,-148.67
cost,1965005,0,707.5,NA,0,0,217.5,0
gross.ror,0.42,4,497.5,NA,0.73,1,217.5,0.73
lSlotted,471,1,532.5,16.96,0,1,532.5,0
lUnslotted,513.08,5,322.5,14.38,Inf,1,252.5,20.66
llCost,750000,0,707.5,541446.34,0,0,532.5,0
risk.free.npv,942178.86,2,497.5,NA,-0.4,1,497.5,-1.11
skCost,134350.67,0,217.5,NA,0,0,217.5,0
