S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_20,S_21,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20,N_21,Su_1,Su_2,Su_3,Su_4,Su_5,Su_6,Su_7,Su_8,Su_9,Su_10,Su_11,Su_12,Su_13,Su_14,Su_15,Su_16,Su_17,Su_18,Su_19,Su_20,Su_21,lSlotted_1,lSlotted_2,lSlotted_3,lSlotted_4,lSlotted_5,lSlotted_6,lSlotted_7,lSlotted_8,lSlotted_9,lSlotted_10,lSlotted_11,lSlotted_12,lSlotted_13,lSlotted_14,lSlotted_15,lSlotted_16,lSlotted_17,lSlotted_18,lSlotted_19,lSlotted_20,lSlotted_21,lUnslotted_1,lUnslotted_2,lUnslotted_3,lUnslotted_4,lUnslotted_5,lUnslotted_6,lUnslotted_7,lUnslotted_8,lUnslotted_9,lUnslotted_10,lUnslotted_11,lUnslotted_12,lUnslotted_13,lUnslotted_14,lUnslotted_15,lUnslotted_16,lUnslotted_17,lUnslotted_18,lUnslotted_19,lUnslotted_20,lUnslotted_21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02946254369736,2.85602371305068,4.63989943856702,5.8426879207106,6.55063821381223,6.73381368215583,6.5619257917443,6.35273730628601,6.26501982353169,6.29756052020182,6.31430300427167,6.23399555278381,6.10111274607259,6.01765018842354,6.02725479213803,6.07817878702503,6.08997662454532,6.03922038875416,5.97346147070182,5.95054404796785,25,0.303939747664436,0.294690170091301,0.298510263884631,0.28710304388443,0.266428607500689,0.243686775829373,0.223212370056674,0.206492162834684,0.19397739863888,0.184272306908045,0.176296847803698,0.169649166161732,0.16426734751885,0.160007061836819,0.156508684961344,0.15337328506083,0.150439440610022,0.147818073484902,0.145638190302944,0.143833811621936,1,0.818730000402207,0.670317858552261,0.54880734616431,0.449322612606164,0.367871504626903,0.301185325342639,0.246587739670248,0.201887420105391,0.165290207004324,0.135327170423926,0.110795688501543,0.0907111628222358,0.0742674762939925,0.0608046312883475,0.0497822673681119,0.0407579815525477,0.033369572640992,0.027320499253682,0.0223679740857054,0.018313219281793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3.99999155990386,3.99996960977491,3.99992736700355,3.99986903814765,3.99980053816179,3.99972763530457,3.99965507828104,3.99958478778711,3.99951630030556,3.99944804653321,3.99937941378508,3.99931110516081,3.99924404718332,3.99917826652973,3.99911290040158,3.99904714070192,3.99898098803495,3.99891506866358,3.99884985001501,3.99878515448097,1,2.65156755563602,7.33618836167869,11.900699956999,14.9753564716961,16.7838154106979,17.248730578685,16.8058620287815,16.2703135882228,16.0475246466463,16.131885642327,16.1741127026583,15.9672605236357,15.6266852876257,15.4138289993189,15.4394637258736,15.5700630175585,15.5996314735499,15.4690201985029,15.3006780433804,15.2425868649664,16,0.778303813597002,0.754894026385805,0.764634144510322,0.735376263566847,0.682400764776778,0.624147300583315,0.571710859057128,0.528892594794936,0.496845812050074,0.471992467534905,0.451567481106331,0.434542869862401,0.420760357543537,0.409850002223902,0.400890400938549,0.392859845550782,0.385345443389952,0.378631751039356,0.373048998414943,0.368427730972771,1,0.818728857981575,0.670314497305346,0.548800747368517,0.449312846580474,0.367859306898825,0.301171672901765,0.246573572814768,0.201873450234667,0.165276878603251,0.13531471566482,0.110784221530696,0.090700739448254,0.0742581103838637,0.0607962950337272,0.0497748988045307,0.0407515011362672,0.0333638982789228,0.0273155526788431,0.0223636805115334,0.0183095061314252,0.8,0.799998311980771,0.799993921954982,0.79998547340071,0.799973807629529,0.799960107632359,0.799945527060915,0.799931015656209,0.799916957557422,0.799903260061112,0.799889609306641,0.799875882757015,0.799862221032162,0.799848809436665,0.799835653305946,0.799822580080316,0.799809428140385,0.799796197606991,0.799783013732717,0.799769970003001,0.799757030896193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3.99998067535374,3.99992990347389,3.99983259958935,3.99969856508964,3.99954134395339,3.99937417546342,3.9992078937185,3.99904682028372,3.99888984818523,3.99873338049006,3.99857605172803,3.99841949725932,3.99826582829791,3.99811507649557,3.99796525127132,3.99781451501816,3.99766289229903,3.99751182546745,3.99736237230214,3.99721410901865,2,6.21881415249444,17.1107187025311,27.6609359329179,34.7498307478618,38.9117627810528,39.9634677026406,38.921193777378,37.6811564879822,37.1756960496247,37.3769609271068,37.4707253397216,36.9842969219196,36.1935619669717,35.7055901407473,35.7710368807087,36.0746152216035,36.1392275392621,35.8328754757386,35.4432149247377,35.3121548771864,27,1.80267991724877,1.75007590571744,1.77236378218238,1.70429773112877,1.58138196381698,1.44634682128445,1.3248563755029,1.22567174978775,1.15144796425862,1.09387510942645,1.04655492032472,1.00711425516521,0.97518737534178,0.949913199892947,0.929153688576312,0.910542601491424,0.893128048768679,0.877572477373318,0.864639099051784,0.853931436899941,6,4.91235849403576,4.02184347829686,3.29271922337073,2.69575117565681,2.20699883544526,1.8068545172371,69.9383121235223,371.40915463049,556.763034506315,601.414879396559,513.460490158356,426.936017722214,439.876220499555,526.637139778758,593.136172789688,586.478564366051,536.879002160046,507.479353263464,524.714318585574,562.479659368502,0.8,0.799996135070748,0.799985980694778,0.79996651991787,0.799939713017928,0.799908268790678,0.799874835092685,0.7998415787437,0.799809364056745,0.799777969637047,0.799746676098012,0.799715210345606,0.799683899451865,0.799653165659582,0.799623015299114,0.799593050254264,0.799562903003633,0.799532578459805,0.79950236509349,0.799472474460427,0.799442821803729,0,0,0,0,0,0,75.5346719540474,346.620105237165,278.809144160482,160.643822041804,23.264579800335,7.2473944202746,99.6831395020204,183.721752747598,178.721478168398,111.306606128206,62.5947609622071,74.9602912233683,120.533357103466,146.633170698848,133.920459255018
64,63.9993496043664,63.9976139604773,63.9943209106425,63.9898099797383,63.9845311339965,63.9789298907973,63.9733935745163,63.9681769099423,63.9632744502704,63.9584691113029,63.9536160245684,63.9487258682394,63.9439084911345,63.9392269352023,63.9346313671569,63.930025176592,63.9253682372765,63.92070235145,63.9160875139364,63.9115327648705,2,13.541332568683,36.7405718906831,58.911333428802,73.7242788965816,82.3847971264793,84.4857438930451,81.4291124400014,75.3865727108548,72.2640967454731,72.2095352417439,73.3863565417542,73.3061147306345,71.4799176875165,69.4882100636328,68.9002018874668,69.6218177409413,70.3026296938948,69.9709877109939,68.953593525807,68.2647524173965,34,3.80619584430373,3.7028320799147,3.7483370057745,3.60295661659652,3.34224426854707,3.0565605322762,2.79943273993183,2.58714345531122,2.42801251707433,2.30571069479013,2.20703560317568,2.1249351242218,2.05742018206875,2.00292371114282,1.95807425427723,1.91878821517635,1.882693589217,1.85027223707572,1.82275593066183,1.79960297943306,19,15.5557111825183,12.7355635461308,10.4264098809387,26.6635394929377,413.435685282016,891.964048167261,1050.88184584491,860.310860537041,704.302746835903,640.465427588898,730.243002223022,866.124710264394,913.621073601588,851.246124313473,769.839546461065,759.743687562062,821.101841773895,882.090607651927,885.111363844715,841.338697752896,12.8,12.7998699208733,12.7995227920955,12.7988641821285,12.7979619959477,12.7969062267993,12.7957859781595,12.7946787149033,12.7936353819885,12.7926548900541,12.7916938222606,12.7907232049137,12.7897451736479,12.7887816982269,12.7878453870405,12.7869262734314,12.7860050353184,12.7850736474553,12.78414047029,12.7832175027873,12.7823065529741,0,0,0,20.0017199278874,432.092035406423,610.727551524499,353.826032229107,0,0,70.4829091208274,227.205645773811,296.03955728122,225.704131762335,113.975985357103,80.4956108486334,142.890253458171,219.711496257285,231.580728138547,179.822281135799,128.795118015122,128.864350347756
231,230.995723344626,230.983652179583,230.960931505763,230.930093810277,230.895266926441,230.860641900848,230.828175390787,230.797832983099,230.768682479387,230.739569400409,230.710191167567,230.681179007336,230.653165443337,230.626029130641,230.599073777302,230.571790349584,230.544305182817,230.517099057844,230.490414560259,230.464020971234,1,26.2371161630189,71.2653273001197,113.135169753848,140.3976043095,147.972105131177,141.06664440097,131.366583130305,123.706231975421,121.463133584883,123.013087612275,123.376794373919,120.126260704915,115.458391950286,113.024817790912,113.809654812017,115.508001569457,115.446436445376,113.390852701836,111.335710781812,111.016457548625,46,7.26205138275492,7.09367119322438,7.17203942925072,6.88570618317374,6.36965903721652,5.79965773923763,5.30115932307222,4.90921623493045,4.61442586944697,4.38378019846754,4.19091562622457,4.02769682027133,3.89726147217539,3.79717133153746,3.71551087219305,3.64052824781501,3.568364120466,3.50361327241043,3.45136349821947,3.40951146165457,28,22.9239975413997,18.7675153234437,177.613566733591,559.811160611758,781.332342591447,686.888833007463,562.28925996195,462.529159026371,492.205274413097,624.530988891397,719.37913521976,697.077104840951,610.475500705237,567.710984764796,611.373145698413,686.25457776714,713.735302576483,677.270368235966,628.668239721156,622.616035576665,46.2,46.1991446689253,46.1967304359165,46.1921863011526,46.1860187620554,46.1790533852882,46.1721283801697,46.1656350781574,46.1595665966198,46.1537364958773,46.1479138800818,46.1420382335133,46.1362358014672,46.1306330886675,46.1252058261282,46.1198147554605,46.1143580699169,46.1088610365634,46.1034198115688,46.0980829120519,46.0928041942467,0,0,179.025170866205,457.270555856884,356.486913459233,52.1856149082322,0,2.46362730124333,125.315325327457,244.518844175571,229.650459653323,119.368029566483,43.952900360901,74.9883579557392,161.792624244067,204.979151291408,167.663986644715,102.605106765127,81.9135069760014,119.135519346707,165.446412660168
28,27.9991847536939,27.996434360091,27.9913513177706,27.9848177308839,27.9778343594499,27.97104539457,27.9646386011762,27.9585769037976,27.9527214594331,27.9469529283535,27.941264023163,27.9357192695,27.9303457081786,27.9250860644804,27.9198533139522,27.9146114707586,27.9093925577374,27.904241874002,27.8991604625894,27.8941052522507,1,47.6803926637788,135.739577041645,207.009110928661,240.608831907327,242.257937511623,230.746381493796,217.26678013801,207.321489708994,202.869677717304,200.887931794888,197.218832902686,191.221047889663,185.753776601946,183.405830633759,183.665422355061,183.848753655496,182.18059665739,179.427774957197,177.60727690072,177.610252681172,88,13.8483651818821,13.6153267128734,13.7063006881215,13.0733901781074,12.0364407550269,10.9637716616877,10.0385413015903,9.31080682614051,8.74817426265497,8.29178198606153,7.91169523318275,7.60624802554001,7.37231826840054,7.18850750780738,7.02688608143805,6.87303250672336,6.73164513419817,6.61421271745651,6.52199884522986,6.44296636730897,121,99.0632788221728,81.0974890954052,363.726695850696,594.532049903871,538.793767493371,441.008590973545,360.975797733402,323.694369895518,368.22034841338,450.225755941222,490.129047144195,464.112207544093,419.033991118105,411.545647632166,447.942102596646,486.958492700004,491.389467666668,466.094212442605,445.38191536416,452.054564593103,5.6,5.59983695073877,5.59928687201821,5.59827026355413,5.59696354617678,5.59556687188999,5.594209078914,5.59292772023524,5.59171538075952,5.59054429188662,5.5893905856707,5.58825280463261,5.5871438539,5.58606914163573,5.58501721289607,5.58397066279044,5.58292229415173,5.58187851154747,5.58084837480039,5.57983209251787,5.57882105045014,0,0,328.101482806536,327.526421879634,57.5645020514709,0,0,31.1431477484132,113.946178591569,164.217166714556,134.177831830246,69.4251696736254,43.1798838901999,75.6311077020321,122.555782913948,132.733767568803,102.381738380541,70.4664269136943,70.4579867718815,96.5285050191166,116.716929492832
35,34.997888719522,34.9905618879778,34.9784149017511,34.9641047113282,34.9494005522841,34.9351144602194,34.9215042841173,34.908494313135,34.8959096359376,34.8836744164332,34.8718147309617,34.8603377618058,34.8491538484036,34.8381247891192,34.8271680119733,34.816296851741,34.8055624990918,34.7949714561587,34.7844669314973,34.7739826752235,1,111.563622372123,280.767288627762,380.863632595951,413.323741344336,410.725025712683,393.869450567576,375.135968862924,361.106563900229,351.101808343677,341.318492180772,330.349164727955,320.417779272256,314.205985209279,311.603561290551,309.931917712351,306.881603887703,302.670860978148,299.281369994344,298.006456766432,298.118855442763,120,25.8713092713449,25.6791444727424,25.5687952033963,24.1484485374623,22.178693041221,20.2226065846775,18.552712073694,17.2318429180079,16.1814444598264,15.3110249776025,14.5986547603404,14.0504657620283,13.6389958664824,13.3024812766682,12.9887993004792,12.6886567450635,12.4260671793055,12.2194096597477,12.0563362873331,11.9059342400948,159,303.826707580452,422.260388847198,377.846875515338,309.215281290686,253.046497912854,207.083394598628,198.298933512585,236.434877872217,281.597102269751,296.037404993762,278.091288111532,258.600028268693,263.970317300032,289.556764988133,309.521428584566,307.264366489689,291.456876363851,283.128866809097,291.807983886916,307.377714623638,7,6.9995777439044,6.99811237759557,6.99568298035022,6.99282094226565,6.98988011045681,6.98702289204388,6.98430085682346,6.981698862627,6.97918192718752,6.97673488328664,6.97436294619233,6.97206755236116,6.96983076968073,6.96762495782385,6.96543360239466,6.96325937034821,6.96111249981836,6.95899429123174,6.95689338629947,6.9547965350447,191.608759167762,191.523686818273,35.601727614524,0,0,0,31.8115864158681,81.8262502527105,97.219537628469,72.3638688604682,39.5145544782425,34.2102644175241,57.737850010801,81.1214194251011,80.0432711139011,59.5203046351497,44.1137521898958,49.199291431035,66.2976672680373,75.6400810390507,68.6182989823699
41,40.9940562104662,40.9760941088563,40.950232340686,40.921454104316,40.8925007021468,40.8645423376106,40.8379049800477,40.8124876919574,40.7880949470373,40.7646012805743,40.7419162297019,40.7198964151821,40.6983496335559,40.6771207783239,40.6561521267759,40.6354534874074,40.6150224816571,40.5948016170395,40.5747080992057,40.5546922290637,5,277.463118027052,547.892844325339,675.381370374168,707.694764117161,694.971949612369,665.437431808613,634.301258778378,607.657012493396,585.028506328256,564.514735752581,546.520211412247,532.837703370556,523.810467258632,517.490240788866,511.458045173587,504.9782034735,499.173316517889,495.324694859568,493.329076676303,491.868022938827,169,45.9691644563312,45.6660762043315,44.5047051995829,41.5415637729987,38.0024172598375,34.6634307978524,31.8510814259232,29.5931234731476,27.7694828582769,26.280565170214,25.1070811656729,24.2213059679792,23.5323131153757,22.9310970899455,22.36282052205,21.844081450494,21.4138353703881,21.0754220315274,20.7876555428848,20.5046903339767,233,243.638711904866,252.324569843111,206.442449263979,168.889787862581,138.167261790622,117.867718549077,131.180903464293,162.697846202364,182.24957886046,178.218796673192,164.298014263806,161.06354278917,173.828756347302,189.92336204848,194.922969658266,187.884392753949,180.067102322264,181.276673383459,190.035653235216,197.088114606726,8.2,8.19881124209325,8.19521882177125,8.1900464681372,8.1842908208632,8.17850014042935,8.17290846752211,8.16758099600954,8.16249753839149,8.15761898940746,8.15292025611486,8.14838324594038,8.14397928303642,8.13966992671118,8.13542415566479,8.13123042535518,8.12709069748148,8.12300449633142,8.1189603234079,8.11494161984114,8.11093844581275,58.3765139750148,58.4314535458941,0,0,0,5.33250302635836,38.3522813440463,61.1114094320606,54.2257969089614,32.1171611624371,20.389478614593,29.387915229515,46.3950204700412,52.6284667933392,43.6104986200384,31.3261693475491,29.053800781488,37.4473060184129,46.0210026096354,45.8938780724222,38.6948212869575
37,36.9807930435867,36.9426144583838,36.8983604572401,36.8534825858667,36.8100798680975,36.7687892504051,36.7296395906796,36.6924308164987,36.6568978388476,36.6227604994923,36.5897049198014,36.5574326741566,36.5257511474719,36.4945910183736,36.4639308420019,36.4337111986986,36.4038206667968,36.374151629062,36.3446550774556,36.3153370703027,7,845.278070619915,1150.83375144574,1226.97342319735,1209.79746885659,1159.41103550537,1101.56473848213,1046.6222741126,998.172081812793,956.91575296646,923.6728968381,899.163914129081,881.689338472248,867.637549046153,854.353862414151,841.871691995494,831.84177923767,825.140344548184,820.746542374409,816.787796201765,812.328302695764,97,78.9162638910881,75.5677493764776,70.0970082870271,63.7644296129728,57.8291240744391,52.7688966257843,48.6289947264368,45.2908851278092,42.6010503685197,40.478010560712,38.8688228514021,37.6398015326973,36.6041995609071,35.6382409234673,34.7392387547818,33.9684177486781,33.3514971819682,32.8398562600154,32.3561934149615,31.8642412048822,530,433.68495082847,354.668522522914,289.99452037738,237.108674831229,193.875690468345,158.535343310737,129.645129904475,106.025709265632,86.7136861279098,86.5602091233915,105.689916740042,124.324706763491,126.077937691672,113.925940437601,104.050417769418,107.403905842756,119.579903056368,127.812650597643,125.246824328944,116.909029981155,7.4,7.39615860871734,7.38852289167676,7.37967209144801,7.37069651717335,7.3620159736195,7.35375785008102,7.34592791813591,7.33848616329974,7.33137956776952,7.32455209989845,7.31794098396028,7.31148653483133,7.30515022949437,7.29891820367472,7.29278616840038,7.28674223973972,7.28076413335937,7.27483032581239,7.26893101549113,7.26306741406054,0,0,0,0,0,0,0,0,0,17.2624674625355,38.5148200289004,41.8108878012576,26.91917518903,11.9205624079616,11.9900056865798,24.6069210080889,35.0180876765971,33.1109647225275,22.8447722923331,15.9575962976916,18.8514311220806
2529,2497.35643782124,2471.46914261206,2450.28947532669,2432.95827197303,2418.77453285571,2407.16586096239,2397.66441780206,2389.88758654213,2383.52233427492,2378.31250229911,2374.04844517781,2370.55857041638,2367.70242361694,2365.36503367411,2363.45228682879,2361.887141551,2360.60653095895,2359.55882762691,2358.70176852305,2358.0007564746,2,2.64127123453275,3.03387263146681,3.25697319425757,3.36587250237174,3.39684481995236,3.37413937741328,3.31443683404626,3.22948917584455,3.12772328566463,3.01525585902111,2.89656052764084,2.77492037973457,2.65274296916003,2.53178440627044,2.41331172834906,2.29822240347131,2.18713345716014,2.08044868409602,1.97840979727698,1.88113563901004,136,112.91352265424,88.0951306480158,72.5076473141973,63.0341403556962,56.9639317297981,52.8034928109244,49.7707109642952,47.4426902058632,45.5784186778182,44.033153997661,42.7158678693827,41.5669982753579,40.5461971881846,39.6252673373793,38.7839335878286,38.007231518749,37.2838517242928,36.6050651553387,35.9640100448355,35.3552083912572,334,273.443616354686,223.86841134462,183.282359738737,150.054926762836,122.851638683506,100.580178382819,82.3463595320483,67.4181517339405,55.1962584107099,45.1900418115359,36.9978184351438,30.2907294602488,24.7995366906822,20.3038129947843,16.623092813314,13.6096272222033,11.1424525652247,9.12253446504819,7.4687922251916,6.11484399730215,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
